wine_ID,pred
5316,5.0
5210,5.0
3518,6.0
1622,6.0
2443,6.0
3521,6.0
5211,5.0
4936,5.0
1161,6.0
5993,5.0
1035,6.0
3788,6.0
3130,6.0
864,6.0
4797,6.0
2572,6.0
3397,6.0
311,6.0
6404,5.0
882,6.0
5334,5.0
5045,5.0
502,6.0
1817,6.0
4434,6.0
3816,6.0
4315,6.0
4442,6.0
170,6.0
1748,6.0
3071,6.0
4275,6.0
4786,6.0
6263,5.0
2768,6.0
5697,5.0
1831,6.0
5452,5.0
6095,5.0
5579,5.0
3029,6.0
3694,6.0
641,6.0
5424,5.0
6380,5.0
1829,6.0
3476,6.0
48,6.0
3885,6.0
2799,6.0
1139,6.0
4323,6.0
5449,5.0
3728,6.0
3054,6.0
2657,6.0
3241,6.0
6022,5.0
3164,6.0
1990,6.0
444,6.0
6401,5.0
3141,6.0
4068,6.0
5838,5.0
982,6.0
831,6.0
202,6.0
4982,5.0
2830,6.0
1414,6.0
2806,6.0
1806,6.0
3537,6.0
910,6.0
2401,6.0
2066,6.0
6433,5.0
5126,5.0
4681,6.0
4459,6.0
4418,6.0
1362,6.0
2590,6.0
768,6.0
2308,6.0
2551,6.0
6247,5.0
4817,6.0
1696,6.0
861,6.0
4214,6.0
4948,5.0
6046,5.0
4184,6.0
1014,6.0
2033,6.0
2902,6.0
3493,6.0
1008,6.0
495,6.0
5615,5.0
3179,6.0
2115,6.0
5097,5.0
3617,6.0
737,6.0
6040,5.0
3605,6.0
1531,6.0
6450,5.0
3688,6.0
771,6.0
2303,6.0
2531,6.0
5658,5.0
3964,6.0
1034,6.0
5048,5.0
2619,6.0
98,6.0
4492,6.0
4972,5.0
2339,6.0
1364,6.0
3365,6.0
2234,6.0
2149,6.0
4337,6.0
5056,5.0
2270,6.0
2132,6.0
661,6.0
3482,6.0
1237,6.0
4901,5.0
4995,5.0
6203,5.0
5740,5.0
1785,6.0
2178,6.0
4033,6.0
4046,6.0
143,6.0
5928,5.0
5769,5.0
6106,5.0
6006,5.0
3414,6.0
6316,5.0
1644,6.0
499,6.0
729,6.0
5428,5.0
1828,6.0
3768,6.0
263,6.0
6144,5.0
3671,6.0
1570,6.0
4374,6.0
4954,5.0
3629,6.0
4456,6.0
5691,5.0
4688,6.0
3849,6.0
5077,5.0
3225,6.0
2070,6.0
2529,6.0
880,6.0
5592,5.0
4385,6.0
5921,5.0
6196,5.0
1467,6.0
2650,6.0
533,6.0
4587,6.0
1189,6.0
5070,5.0
3582,6.0
4988,5.0
3118,6.0
1524,6.0
528,6.0
6184,5.0
42,6.0
3932,6.0
4697,6.0
4202,6.0
3411,6.0
2141,6.0
1380,6.0
558,6.0
5644,5.0
2623,6.0
4189,6.0
1290,6.0
4549,6.0
6057,5.0
2235,6.0
4059,6.0
2756,6.0
6114,5.0
2193,6.0
1906,6.0
3955,6.0
3986,6.0
2323,6.0
5104,5.0
148,6.0
572,6.0
14,6.0
124,6.0
593,6.0
3961,6.0
4612,6.0
5168,5.0
2043,6.0
5295,5.0
2601,6.0
5655,5.0
1563,6.0
5169,5.0
2457,6.0
4630,6.0
5815,5.0
3175,6.0
2131,6.0
1281,6.0
1746,6.0
1391,6.0
3594,6.0
1615,6.0
979,6.0
3266,6.0
733,6.0
5190,5.0
2653,6.0
2526,6.0
526,6.0
4364,6.0
4762,6.0
5022,5.0
5959,5.0
1066,6.0
5540,5.0
2990,6.0
2714,6.0
4160,6.0
119,6.0
318,6.0
2817,6.0
6078,5.0
206,6.0
5612,5.0
4721,6.0
4482,6.0
3522,6.0
3382,6.0
3710,6.0
3545,6.0
1277,6.0
4231,6.0
6160,5.0
2456,6.0
3064,6.0
2224,6.0
4631,6.0
6145,5.0
1749,6.0
5907,5.0
4553,6.0
6231,5.0
6434,5.0
2819,6.0
6436,5.0
5058,5.0
3814,6.0
467,6.0
5352,5.0
3836,6.0
2824,6.0
4307,6.0
1145,6.0
5764,5.0
735,6.0
944,6.0
3407,6.0
2682,6.0
2407,6.0
3287,6.0
812,6.0
991,6.0
695,6.0
2631,6.0
4674,6.0
1132,6.0
3822,6.0
5970,5.0
1881,6.0
1001,6.0
1278,6.0
6158,5.0
5475,5.0
4783,6.0
4322,6.0
5397,5.0
5440,5.0
4711,6.0
4240,6.0
5342,5.0
5885,5.0
15,6.0
2795,6.0
144,6.0
252,6.0
519,6.0
287,6.0
597,6.0
5878,5.0
214,6.0
5488,5.0
2521,6.0
4937,5.0
3442,6.0
4778,6.0
12,6.0
5421,5.0
3981,6.0
4281,6.0
3895,6.0
472,6.0
993,6.0
2455,6.0
233,6.0
4534,6.0
4149,6.0
1160,6.0
2865,6.0
4314,6.0
509,6.0
1246,6.0
2915,6.0
1977,6.0
4150,6.0
1520,6.0
5698,5.0
5831,5.0
2891,6.0
5829,5.0
6235,5.0
4857,6.0
6119,5.0
1180,6.0
863,6.0
6245,5.0
3714,6.0
2949,6.0
2223,6.0
4285,6.0
2579,6.0
4431,6.0
294,6.0
2340,6.0
6174,5.0
693,6.0
2955,6.0
4324,6.0
5553,5.0
3158,6.0
1597,6.0
4379,6.0
6139,5.0
6234,5.0
2048,6.0
2931,6.0
5987,5.0
1870,6.0
4751,6.0
4246,6.0
347,6.0
2310,6.0
5919,5.0
5660,5.0
2534,6.0
4768,6.0
5195,5.0
6137,5.0
3438,6.0
773,6.0
1590,6.0
1571,6.0
5143,5.0
4479,6.0
1921,6.0
4127,6.0
3536,6.0
4359,6.0
1526,6.0
1051,6.0
5422,5.0
6210,5.0
3177,6.0
6473,5.0
4340,6.0
134,6.0
5817,5.0
3303,6.0
2172,6.0
3042,6.0
2984,6.0
2738,6.0
3450,6.0
840,6.0
1314,6.0
3635,6.0
3572,6.0
154,6.0
3485,6.0
2460,6.0
5267,5.0
1657,6.0
2829,6.0
1142,6.0
6182,5.0
142,6.0
3924,6.0
2462,6.0
2447,6.0
3154,6.0
4494,6.0
5857,5.0
5943,5.0
5870,5.0
1893,6.0
3723,6.0
5772,5.0
3357,6.0
3233,6.0
5977,5.0
6127,5.0
1996,6.0
2678,6.0
1633,6.0
683,6.0
5122,5.0
4398,6.0
2036,6.0
1722,6.0
2368,6.0
6239,5.0
1122,6.0
1861,6.0
2702,6.0
6206,5.0
451,6.0
1515,6.0
6101,5.0
2873,6.0
5898,5.0
2433,6.0
1741,6.0
3443,6.0
3036,6.0
2655,6.0
629,6.0
5459,5.0
3636,6.0
3254,6.0
3528,6.0
4339,6.0
2009,6.0
4671,6.0
1843,6.0
2481,6.0
3196,6.0
247,6.0
5709,5.0
5708,5.0
5299,5.0
5591,5.0
517,6.0
2014,6.0
2761,6.0
6365,5.0
1108,6.0
2453,6.0
3907,6.0
1666,6.0
5851,5.0
4781,6.0
634,6.0
456,6.0
1940,6.0
257,6.0
5160,5.0
4732,6.0
2858,6.0
1220,6.0
130,6.0
302,6.0
6441,5.0
5180,5.0
2468,6.0
3370,6.0
5170,5.0
3251,6.0
2939,6.0
5361,5.0
5994,5.0
1564,6.0
6005,5.0
2079,6.0
2306,6.0
2017,6.0
4396,6.0
6385,5.0
5377,5.0
1330,6.0
1327,6.0
842,6.0
5588,5.0
5934,5.0
4806,6.0
1328,6.0
5800,5.0
90,6.0
5009,5.0
5523,5.0
1196,6.0
2247,6.0
818,6.0
3553,6.0
3949,6.0
1887,6.0
1953,6.0
1022,6.0
1425,6.0
2615,6.0
1864,6.0
2484,6.0
1718,6.0
1063,6.0
4714,6.0
1826,6.0
3780,6.0
5628,5.0
1772,6.0
3663,6.0
731,6.0
5528,5.0
3150,6.0
5954,5.0
751,6.0
5587,5.0
1495,6.0
3872,6.0
1766,6.0
1568,6.0
39,6.0
443,6.0
3690,6.0
4169,6.0
971,6.0
394,6.0
4488,6.0
2095,6.0
5746,5.0
548,6.0
3930,6.0
2000,6.0
1916,6.0
2868,6.0
994,6.0
1136,6.0
2629,6.0
1601,6.0
2067,6.0
3270,6.0
4119,6.0
44,6.0
3284,6.0
539,6.0
3615,6.0
530,6.0
2243,6.0
527,6.0
980,6.0
2849,6.0
5111,5.0
5972,5.0
2377,6.0
1106,6.0
3263,6.0
3855,6.0
4811,6.0
2626,6.0
8,6.0
3063,6.0
834,6.0
3641,6.0
3006,6.0
5417,5.0
4489,6.0
2728,6.0
6117,5.0
2580,6.0
2635,6.0
888,6.0
6445,5.0
5401,5.0
5174,5.0
1750,6.0
5332,5.0
1386,6.0
3420,6.0
4141,6.0
1859,6.0
5804,5.0
5889,5.0
6392,5.0
4254,6.0
462,6.0
875,6.0
1712,6.0
34,6.0
1670,6.0
5399,5.0
1369,6.0
2420,6.0
6050,5.0
5204,5.0
4371,6.0
5260,5.0
317,6.0
5053,5.0
227,6.0
2667,6.0
479,6.0
6222,5.0
5999,5.0
2194,6.0
6486,5.0
2805,6.0
5681,5.0
5771,5.0
5545,5.0
4898,5.0
3416,6.0
29,6.0
4712,6.0
464,6.0
1096,6.0
5413,5.0
4100,6.0
2464,6.0
371,6.0
6128,5.0
4458,6.0
6359,5.0
2147,6.0
878,6.0
6220,5.0
1974,6.0
3587,6.0
3724,6.0
194,6.0
4767,6.0
2182,6.0
4975,5.0
5175,5.0
3784,6.0
6178,5.0
1332,6.0
917,6.0
4113,6.0
3040,6.0
3620,6.0
2694,6.0
4695,6.0
4358,6.0
4885,6.0
4065,6.0
4973,5.0
5337,5.0
4408,6.0
1185,6.0
2797,6.0
4481,6.0
6405,5.0
684,6.0
3322,6.0
3434,6.0
3147,6.0
4626,6.0
147,6.0
4276,6.0
3378,6.0
1547,6.0
559,6.0
1833,6.0
5932,5.0
1121,6.0
1675,6.0
1702,6.0
2250,6.0
217,6.0
2240,6.0
3294,6.0
532,6.0
5270,5.0
1399,6.0
6304,5.0
388,6.0
5040,5.0
2764,6.0
1282,6.0
3069,6.0
3805,6.0
5389,5.0
3807,6.0
4855,6.0
4181,6.0
535,6.0
4881,6.0
555,6.0
3875,6.0
4313,6.0
3709,6.0
1692,6.0
2385,6.0
5560,5.0
429,6.0
3379,6.0
4088,6.0
4798,6.0
2724,6.0
3789,6.0
304,6.0
4462,6.0
2272,6.0
2189,6.0
6287,5.0
4793,6.0
4707,6.0
2611,6.0
3957,6.0
1326,6.0
286,6.0
5396,5.0
1835,6.0
3634,6.0
4831,6.0
2279,6.0
4506,6.0
4166,6.0
9,6.0
2426,6.0
4234,6.0
3684,6.0
1427,6.0
4977,5.0
5033,5.0
6051,5.0
4705,6.0
3718,6.0
2641,6.0
2505,6.0
3614,6.0
4301,6.0
3039,6.0
6422,5.0
2402,6.0
5703,5.0
2892,6.0
5378,5.0
4921,5.0
3760,6.0
3032,6.0
745,6.0
1523,6.0
2553,6.0
187,6.0
1983,6.0
4943,5.0
5020,5.0
3939,6.0
4618,6.0
3176,6.0
5849,5.0
70,6.0
3277,6.0
949,6.0
2854,6.0
5250,5.0
4402,6.0
2716,6.0
4502,6.0
5706,5.0
660,6.0
4244,6.0
2164,6.0
3985,6.0
3523,6.0
3184,6.0
2932,6.0
2369,6.0
6488,5.0
4225,6.0
4761,6.0
5779,5.0
1172,6.0
1,6.0
5468,5.0
6056,5.0
620,6.0
6379,5.0
224,6.0
2942,6.0
6195,5.0
3348,6.0
1668,6.0
2406,6.0
6171,5.0
1995,6.0
2804,6.0
5624,5.0
20,6.0
5017,5.0
938,6.0
3698,6.0
3260,6.0
5526,5.0
396,6.0
1837,6.0
283,6.0
3894,6.0
4583,6.0
557,6.0
2429,6.0
6020,5.0
5855,5.0
2315,6.0
380,6.0
5253,5.0
916,6.0
6097,5.0
3304,6.0
3689,6.0
72,6.0
4624,6.0
6275,5.0
3777,6.0
2726,6.0
4733,6.0
401,6.0
4067,6.0
1624,6.0
6442,5.0
2809,6.0
5915,5.0
2703,6.0
2355,6.0
3484,6.0
6179,5.0
4884,6.0
1370,6.0
4264,6.0
521,6.0
5016,5.0
6140,5.0
5727,5.0
489,6.0
6201,5.0
3888,6.0
6175,5.0
5282,5.0
2753,6.0
274,6.0
1357,6.0
3099,6.0
4864,6.0
5065,5.0
4311,6.0
2293,6.0
5012,5.0
3240,6.0
5506,5.0
188,6.0
5547,5.0
5690,5.0
5489,5.0
4749,6.0
1926,6.0
6270,5.0
776,6.0
6225,5.0
3262,6.0
3626,6.0
5935,5.0
195,6.0
2075,6.0
2493,6.0
1865,6.0
5202,5.0
4217,6.0
3097,6.0
1528,6.0
2177,6.0
1170,6.0
5466,5.0
4473,6.0
3432,6.0
1700,6.0
3200,6.0
6,6.0
5163,5.0
2350,6.0
470,6.0
1095,6.0
1091,6.0
1171,6.0
2175,6.0
5788,5.0
976,6.0
4395,6.0
3323,6.0
3439,6.0
6125,5.0
4800,6.0
3904,6.0
4991,5.0
4989,5.0
5651,5.0
4165,6.0
6355,5.0
4381,6.0
1586,6.0
3858,6.0
1460,6.0
6154,5.0
1867,6.0
6072,5.0
5880,5.0
